id,listing_id,negative_sentiment,neutral_sentiment,positive_sentiment,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
1583,8428314,0.003826087,0.726086957,0.270086957,Apartment,Entire home/apt,3,1,1,2,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",225,5,21,42,61,23,10,10,10,10,10,10,2
1584,8439372,0.021103448,0.715137931,0.263758621,Apartment,Entire home/apt,5,1,2,3,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",""Fire Extinguisher"",Essentials,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",295,11,37,67,67,29,9,10,10,10,10,9,2.74
1585,8439661,0.037111111,0.661444444,0.301444444,Apartment,Entire home/apt,6,1.5,2,2,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}",250,12,35,65,340,9,9,9,9,8,9,8,0.97
1586,8441187,0.010022222,0.711644444,0.278377778,Apartment,Shared room,2,1,1,1,Airbed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",""Hot Tub"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",95,18,44,59,59,45,10,9,10,10,10,9,4.05
1587,8442314,0.015074074,0.724333333,0.260592593,House,Private room,2,1,1,1,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials}",89,0,0,0,217,27,9,8,9,9,10,9,2.35
1588,8442940,0.010633333,0.68085,0.308566667,House,Entire home/apt,3,1,1,2,Real Bed,"{""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron}",149,1,1,7,7,60,10,10,10,10,10,10,5.2
1589,8450098,0.009820513,0.655153846,0.334948718,Condominium,Private room,4,1,1,3,Real Bed,"{""Air Conditioning"",Kitchen,""Pets Allowed"",""Pets live on this property"",Dog(s),""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",""Hair Dryer""}",175,15,41,71,343,39,10,9,10,10,10,9,3.31
1590,8454985,0.025142857,0.654428571,0.320428571,Apartment,Entire home/apt,3,1,2,2,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",225,10,40,70,160,7,10,9,10,10,9,9,0.59
1591,8458210,0.012104167,0.6941875,0.2936875,Apartment,Entire home/apt,6,1,2,2,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",325,14,39,69,344,48,10,10,10,10,10,10,4.3
1592,8460627,0.01,0.8986,0.0914,Apartment,Private room,1,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",Doorman,Breakfast,""Elevator in Building"",Heating,""Family/Kid Friendly"",Dryer,Essentials,Shampoo}",100,24,54,81,356,5,10,9,10,10,10,10,0.47
